ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL3261550,O=C1CSC(c2cccc(Br)c2)N1CCc1ccccc1,inactive,20670.0,4.684659523372711
CHEMBL3261537,O=C1CSC(c2cccc(Br)c2)N1c1cc(Cl)ccc1O,active,9950.0,5.002176919254275
CHEMBL3259837,O=C1CSC(c2cccc(Br)c2)N1c1ccc(O)cc1,inactive,50000.0,4.301029995663981
CHEMBL3261540,O=C1CSC(c2cccc(Br)c2)N1c1cccc(O)c1,inactive,37090.0,4.43074316667139
CHEMBL3261544,O=C1CSC(c2cccc(Br)c2)N1c1cccc([N+](=O)[O-])c1,inactive,43710.0,4.359419193510347
CHEMBL3261547,O=C1CSC(c2cccc(Br)c2)N1c1ccccc1,inactive,50000.0,4.301029995663981
CHEMBL3261539,O=C1CSC(c2cccc(Br)c2)N1c1ccccc1O,inactive,13690.0,4.86359655186601
CHEMBL3261549,O=C1CSC(c2cccc(Br)c2)N1c1ncccn1,inactive,50000.0,4.301029995663981
CHEMBL3261548,O=C1CSC(c2cccc(Br)c2)N1c1nccs1,inactive,50000.0,4.301029995663981
OWN_20,BrC1CCC(CC1)N1C(SCC1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
OWN_19,ClC1CCC(CC1)N1C(SCC1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
CHEMBL3793867,O=C1NC(=S)S/C1=C1\C(=O)Nc2ccc(Br)cc21,inactive,36200.0,4.441291429466834
CHEMBL1213862,O=C1NC(=O)/C(=C2/C(=O)Nc3ccccc32)S1,inactive,60700.0,4.2168113089247425
